,arm_name,metric_name,mean,sem,trial_index,parameters
28,19_0,objective,2.472,0.0,19,"{'XLE1': 1.533565300051123, 'XLE2': 3.109624147415161, 'CHORD1_1': 0.3777165070176125, 'CHORD1_2': 0.07108493898063897, 'CHORD2_1': 0.10420324029400946, 'CHORD2_2': 0.1672672329004854, 'SSPAN1_2': 0.18874418418854474, 'SSPAN2_2': 0.2780267434194684}"
29,20_0,objective,2.177,0.0,20,"{'XLE1': 1.721263405866921, 'XLE2': 3.087711230106652, 'CHORD1_1': 0.309416974708438, 'CHORD1_2': 0.05029661019332707, 'CHORD2_1': 0.26461455365642905, 'CHORD2_2': 0.16897225007414818, 'SSPAN1_2': 0.29596919342875483, 'SSPAN2_2': 0.140687763877213}"
30,21_0,objective,2.192,0.0,21,"{'XLE1': 1.4351535202004015, 'XLE2': 3.189258928410709, 'CHORD1_1': 0.3532920479774475, 'CHORD1_2': 0.06740602830424905, 'CHORD2_1': 0.26219190983101726, 'CHORD2_2': 0.1661969607230276, 'SSPAN1_2': 0.2958658315241337, 'SSPAN2_2': 0.10619995296001435}"
31,22_0,objective,2.956,0.0,22,"{'XLE1': 1.572987316849785, 'XLE2': 3.038661439128759, 'CHORD1_1': 0.3910025630376607, 'CHORD1_2': 0.08844048333518122, 'CHORD2_1': 0.4, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.1902415687090936, 'SSPAN2_2': 0.3}"
32,23_0,objective,2.491,0.0,23,"{'XLE1': 1.6191339242628486, 'XLE2': 3.086027834479051, 'CHORD1_1': 0.15515716127040619, 'CHORD1_2': 0.05494145353371606, 'CHORD2_1': 0.4, 'CHORD2_2': 0.0, 'SSPAN1_2': 0.1, 'SSPAN2_2': 0.3}"
33,24_0,objective,2.811,0.0,24,"{'XLE1': 1.5060454710136066, 'XLE2': 3.1466651178286567, 'CHORD1_1': 0.1537347410830519, 'CHORD1_2': 0.08392677883495438, 'CHORD2_1': 0.24515985360556716, 'CHORD2_2': 0.1953024104174116, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
34,25_0,objective,2.928,0.0,25,"{'XLE1': 1.3566337924721426, 'XLE2': 3.134709431599731, 'CHORD1_1': 0.4, 'CHORD1_2': 0.047191845739162255, 'CHORD2_1': 0.2616597082054086, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
35,26_0,objective,2.862,0.0,26,"{'XLE1': 1.5189675645128888, 'XLE2': 3.189496958260235, 'CHORD1_1': 0.1808604690017197, 'CHORD1_2': 0.02168346492531474, 'CHORD2_1': 0.2707406900637724, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.2567675174397869, 'SSPAN2_2': 0.3}"
36,27_0,objective,2.933,0.0,27,"{'XLE1': 1.329571060697279, 'XLE2': 3.0, 'CHORD1_1': 0.4, 'CHORD1_2': 0.05250745728055285, 'CHORD2_1': 0.28317204230311877, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.25395380111265564, 'SSPAN2_2': 0.3}"
37,28_0,objective,3.108,0.0,28,"{'XLE1': 1.25, 'XLE2': 3.0503559781703204, 'CHORD1_1': 0.30216617367894827, 'CHORD1_2': 0.09, 'CHORD2_1': 0.24370892821124215, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
38,29_0,objective,2.994,0.0,29,"{'XLE1': 1.25, 'XLE2': 3.010612094046983, 'CHORD1_1': 0.29289552170864275, 'CHORD1_2': 0.09, 'CHORD2_1': 0.2152491110513189, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.27798707664947125}"
39,30_0,objective,2.748,0.0,30,"{'XLE1': 1.25, 'XLE2': 3.0391727252554315, 'CHORD1_1': 0.4, 'CHORD1_2': 0.09, 'CHORD2_1': 0.4, 'CHORD2_2': 0.0, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
40,31_0,objective,2.845,0.0,31,"{'XLE1': 1.25, 'XLE2': 3.062035484192063, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.4, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.1, 'SSPAN2_2': 0.3}"
41,32_0,objective,1.767,0.0,32,"{'XLE1': 1.6474260040558875, 'XLE2': 3.0761028826236725, 'CHORD1_1': 0.17423120373860002, 'CHORD1_2': 0.05141549728810787, 'CHORD2_1': 0.11078192424029112, 'CHORD2_2': 0.043665714329108596, 'SSPAN1_2': 0.10432801339775324, 'SSPAN2_2': 0.24658032804727553}"
42,33_0,objective,2.925,0.0,33,"{'XLE1': 1.25, 'XLE2': 3.18827691473476, 'CHORD1_1': 0.3021628272646969, 'CHORD1_2': 0.09, 'CHORD2_1': 0.2854413637512662, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.25417585440219315, 'SSPAN2_2': 0.3}"
43,34_0,objective,2.985,0.0,34,"{'XLE1': 1.25, 'XLE2': 3.0, 'CHORD1_1': 0.4, 'CHORD1_2': 0.09, 'CHORD2_1': 0.2587124210083891, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
