,arm_name,metric_name,mean,sem,trial_index,parameters
32,23_0,objective,2.671,0.0,23,"{'XLE1': 1.25, 'XLE2': 3.2, 'CHORD1_1': 0.1, 'CHORD1_2': 0.09, 'CHORD2_1': 0.4, 'CHORD2_2': 0.0, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
33,24_0,objective,2.777,0.0,24,"{'XLE1': 1.25, 'XLE2': 3.0268383762563413, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.1, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.18652084991461038}"
34,25_0,objective,2.583,0.0,25,"{'XLE1': 1.25, 'XLE2': 3.021888035702114, 'CHORD1_1': 0.4, 'CHORD1_2': 0.09, 'CHORD2_1': 0.4, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.1, 'SSPAN2_2': 0.2400118000345787}"
35,26_0,objective,2.529,0.0,26,"{'XLE1': 1.6411896529607475, 'XLE2': 3.085401231236756, 'CHORD1_1': 0.32693373942747717, 'CHORD1_2': 0.0667987931985408, 'CHORD2_1': 0.10811467580497265, 'CHORD2_2': 0.1915991655550897, 'SSPAN1_2': 0.2366759844124317, 'SSPAN2_2': 0.23528169989585876}"
36,27_0,objective,2.317,0.0,27,"{'XLE1': 1.3982302960939705, 'XLE2': 3.0582867570221426, 'CHORD1_1': 0.3210960461758078, 'CHORD1_2': 0.07717241484671832, 'CHORD2_1': 0.18158067073673012, 'CHORD2_2': 0.1637250145431608, 'SSPAN1_2': 0.20811800006777048, 'SSPAN2_2': 0.16851654127240182}"
37,28_0,objective,2.558,0.0,28,"{'XLE1': 1.25, 'XLE2': 3.0028254605585563, 'CHORD1_1': 0.4, 'CHORD1_2': 0.09, 'CHORD2_1': 0.4, 'CHORD2_2': 0.0, 'SSPAN1_2': 0.1, 'SSPAN2_2': 0.3}"
38,29_0,objective,2.986,0.0,29,"{'XLE1': 1.25, 'XLE2': 3.029203088597281, 'CHORD1_1': 0.3650951236508926, 'CHORD1_2': 0.0, 'CHORD2_1': 0.4, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.16468978302385506, 'SSPAN2_2': 0.3}"
39,30_0,objective,2.586,0.0,30,"{'XLE1': 1.2754491898231208, 'XLE2': 3.115784602612257, 'CHORD1_1': 0.21383124850690366, 'CHORD1_2': 0.05791230306029319, 'CHORD2_1': 0.1079580269753933, 'CHORD2_2': 0.20629401342011988, 'SSPAN1_2': 0.1869097650051117, 'SSPAN2_2': 0.29563322514295576}"
40,31_0,objective,2.934,0.0,31,"{'XLE1': 1.75, 'XLE2': 3.048472718299597, 'CHORD1_1': 0.2320382807368747, 'CHORD1_2': 0.0, 'CHORD2_1': 0.4, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.14247367764922708, 'SSPAN2_2': 0.3}"
41,32_0,objective,2.507,0.0,32,"{'XLE1': 1.4220249983482063, 'XLE2': 3.109051775932312, 'CHORD1_1': 0.27460137000307444, 'CHORD1_2': 0.04796511048451066, 'CHORD2_1': 0.3426596149802208, 'CHORD2_2': 0.18607057118788362, 'SSPAN1_2': 0.23482512962073088, 'SSPAN2_2': 0.21236161570996046}"
42,33_0,objective,2.865,0.0,33,"{'XLE1': 1.3994058738462627, 'XLE2': 3.038729112967849, 'CHORD1_1': 0.36746984748169786, 'CHORD1_2': 0.018484104126691818, 'CHORD2_1': 0.19278961746022105, 'CHORD2_2': 0.1835867997724563, 'SSPAN1_2': 0.2286566726863384, 'SSPAN2_2': 0.2983753629028797}"
43,34_0,objective,2.768,0.0,34,"{'XLE1': 1.25, 'XLE2': 3.151036359040204, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.22173152223833317, 'CHORD2_2': 0.0, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
44,35_0,objective,2.27,0.0,35,"{'XLE1': 1.6215129713527858, 'XLE2': 3.1962349245324733, 'CHORD1_1': 0.35625875275582075, 'CHORD1_2': 0.03571394043043256, 'CHORD2_1': 0.2051729646511376, 'CHORD2_2': 0.07936882646754384, 'SSPAN1_2': 0.2307785864919424, 'SSPAN2_2': 0.15372513607144356}"
45,36_0,objective,1.385,0.0,36,"{'XLE1': 1.5309579889290035, 'XLE2': 3.18283581212163, 'CHORD1_1': 0.2646656447090209, 'CHORD1_2': 0.0348921584431082, 'CHORD2_1': 0.23706479864194993, 'CHORD2_2': 0.09469320299103856, 'SSPAN1_2': 0.1065418465062976, 'SSPAN2_2': 0.11647031549364328}"
46,37_0,objective,2.08,0.0,37,"{'XLE1': 1.75, 'XLE2': 3.1763630422997307, 'CHORD1_1': 0.4, 'CHORD1_2': 0.09, 'CHORD2_1': 0.4, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.10177739349406249}"
47,38_0,objective,2.899,0.0,38,"{'XLE1': 1.25, 'XLE2': 3.1568299676494784, 'CHORD1_1': 0.2781536533261593, 'CHORD1_2': 0.0, 'CHORD2_1': 0.4, 'CHORD2_2': 0.1484028148269976, 'SSPAN1_2': 0.19228300228958906, 'SSPAN2_2': 0.3}"
48,39_0,objective,2.764,0.0,39,"{'XLE1': 1.75, 'XLE2': 3.152780944978067, 'CHORD1_1': 0.38647349480402016, 'CHORD1_2': 0.0, 'CHORD2_1': 0.4, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.1, 'SSPAN2_2': 0.27818934894986913}"
49,40_0,objective,2.089,0.0,40,"{'XLE1': 1.2858121753670275, 'XLE2': 3.181857110001147, 'CHORD1_1': 0.36974828708916907, 'CHORD1_2': 0.009594692308455706, 'CHORD2_1': 0.3004588159732521, 'CHORD2_2': 0.24094358296133578, 'SSPAN1_2': 0.13145393058657645, 'SSPAN2_2': 0.17334232181310655}"
