,arm_name ,metric_name ,mean ,sem ,trial_index ,arm_name   ,metric_name   ,mean   ,sem   ,trial_index   ,arm_name,metric_name,mean,sem,trial_index,parameters
24,20_0,objective,2.857,0.0,20,20_0,CD,0.462,0.0,20,20_0,XCP,0.6001463414634147,0.0,20,"{'XLE1': 1.3922400258301835, 'XLE2': 3.0, 'CHORD1_1': 0.1719772286951, 'CHORD1_2': 0.0, 'CHORD2_1': 0.19507217590066356, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.24551061469106475, 'SSPAN2_2': 0.27638742332402055, 'fidelity': 1}"
25,21_0,objective,2.828,0.0,21,21_0,CD,0.458,0.0,21,21_0,XCP,0.6059512195121952,0.0,21,"{'XLE1': 1.6976393605954148, 'XLE2': 3.0, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.19642879057395016, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.20157120563114259, 'SSPAN2_2': 0.2668207094235125, 'fidelity': 1}"
26,22_0,objective,2.711,0.0,22,22_0,CD,0.47,0.0,22,22_0,XCP,0.5770731707317074,0.0,22,"{'XLE1': 1.75, 'XLE2': 3.0, 'CHORD1_1': 0.30593680659703937, 'CHORD1_2': 0.006418752142974573, 'CHORD2_1': 0.1, 'CHORD2_2': 0.2478869602766092, 'SSPAN1_2': 0.2369149761848022, 'SSPAN2_2': 0.2961512232555214, 'fidelity': 1}"
27,23_0,objective,2.948,0.0,23,23_0,CD,0.476,0.0,23,23_0,XCP,0.5888292682926829,0.0,23,"{'XLE1': 1.3932840527593748, 'XLE2': 3.0, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.19918883868123083, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.21147685621768136, 'SSPAN2_2': 0.2798964536542534, 'fidelity': 1}"
28,24_0,objective,2.916,0.0,24,24_0,CD,0.465,0.0,24,24_0,XCP,0.5924390243902439,0.0,24,"{'XLE1': 1.4226437260238842, 'XLE2': 3.0, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.2210661268990836, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.20607131279703989, 'SSPAN2_2': 0.2595130020175567, 'fidelity': 1}"
29,25_0,objective,2.958,0.0,25,25_0,CD,0.465,0.0,25,25_0,XCP,0.5863902439024391,0.0,25,"{'XLE1': 1.3748388851081157, 'XLE2': 3.0, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.24369307431559636, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.2124300616111893, 'SSPAN2_2': 0.24668908105682388, 'fidelity': 1}"
30,26_0,objective,2.826,0.0,26,26_0,CD,0.461,0.0,26,26_0,XCP,0.5598048780487805,0.0,26,"{'XLE1': 1.25, 'XLE2': 3.0, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0003462274870031732, 'CHORD2_1': 0.12477902184122064, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.20422082100565392, 'SSPAN2_2': 0.3, 'fidelity': 1}"
31,27_0,objective,2.718,0.0,27,27_0,CD,0.449,0.0,27,27_0,XCP,0.5383414634146342,0.0,27,"{'XLE1': 1.5373193329452246, 'XLE2': 3.0, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.27279822661118314, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.23762686100818425, 'SSPAN2_2': 0.21207913006054427, 'fidelity': 1}"
32,28_0,objective,2.557,0.0,28,28_0,CD,0.469,0.0,28,28_0,XCP,0.5563902439024391,0.0,28,"{'XLE1': 1.5105225688369919, 'XLE2': 3.0, 'CHORD1_1': 0.22572944250957003, 'CHORD1_2': 0.0, 'CHORD2_1': 0.3951030536898307, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.2695971613955933, 'SSPAN2_2': 0.21394058766203075, 'fidelity': 1}"
33,29_0,objective,2.766,0.0,29,29_0,CD,0.447,0.0,29,29_0,XCP,0.5513658536585366,0.0,29,"{'XLE1': 1.25, 'XLE2': 3.0, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.1, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.19853181227062747, 'SSPAN2_2': 0.3, 'fidelity': 1}"
